Título,Preço,Área,Preço por m²,Detalhes,Descrição 1,Descrição 2,Descrição 3
"SMPW Quadra 17 Conjunto 12, PARK WAY, BRASILIA",2730000,600,"4.550,00","600 m²


7 Quartos


3 Suítes


12 Vagas",SMPW  17 | Casa  sobrado de alto padrão com 7 quartos - sendo 3 suítes - 12 vagas de garagem - aceit,"SMPW 17 - Park Way.

Apresentamos uma residência de alto padrão que combina sofisticação, conforto e privacidade em um d... 10/12/24",Venda Casa Condominio 600 m²
"SQS 402, ASA SUL, BRASILIA",795000,92,"8.641,30","92 m²


3 Quartos","SQS 402, 3 QUARTOS, VISTA LIVRE","Imóvel com excelente localização na 402 Asa Sul, um dos bairros mais valorizados de Brasília. Com 92m² de área útil, est... 10/12/24",Venda Apartamento 92 m²
"SQNW 306 Bloco C
                                    NOROESTE, BRASILIA",3055000,220,"13.886,36","220 a 220 m²

3 quartos

2 plantas",URBAN 306,Descrição não encontrada,Apartamento 220 a 220 m²
"SHIN QI 3, LAGO NORTE, BRASILIA",3999999,750,"5.333,33","750 m²


6 Quartos


4 Suítes


4 Vagas",SHIN QI 3 4 Suítes Avalia troca por apartaemntoe.,"VILLA148364 - Última atualização: 09/12/24 23:32
SHIN QI 3 4 Suítes mais 2 Q com Banheiro Social. 

4 Suítes com Closet
... 10/12/24",Venda Casa 750 m²
"Condomínio Prive I Quadra 1, LAGO NORTE, BRASILIA",2350000,400,"5.875,00","400 m²


4 Quartos


3 Suítes


4 Vagas",CONDOMINIO LAGO NORTE TERREA EXCLUSIVA PROJETO ARQUITETO CONDOMINIO LAGO NORTE TERREA,"CASA TÉRREA CONDOMÍNIO LAGO NORTE  
Imagine viver em uma casa única, vazada, projetada para unir modernidade, conforto e... 10/12/24",Venda Casa Condominio 400 m²
"SQS 109, ASA SUL, BRASILIA",1500000,159,"9.433,96","159 m²


4 Quartos


1 Vaga",apartamento 4 QUARTOS na Asa Sul,"Oportunidade Imperdível! Imóvel 4 Quartos, Nascente, Vista livre, esquadrias, elétrica e hidráulicas REFORMADAS!!!

Você... 10/12/24",Venda Apartamento 159 m²
"SQSW 500 Bloco O
                                    SUDOESTE, BRASILIA",,159,Preço ou área indisponível,"159 m²

4 quartos

1 planta",SIMPLICIDADE EXUBERANTE,Descrição não encontrada,Apartamento 159 m²
"SHIS QL 2, LAGO SUL, BRASILIA",4750000,780,"6.089,74","780 m²


6 Quartos


6 Suítes


7 Vagas",- EXCELENTE PARA RETROFIT TERRENO GIGANTE,"LUCAS BORDALO VENDE COM EXCLUSIVIDADE - QL 02 - LAGO SUL

VÍDEO COM APRESENTAÇÃO COMPLETA NO ANÚNCIO!!!

- Casa com 780m... 10/12/24",Venda Casa 780 m²
"SMPW Quadra 17, PARK WAY, BRASILIA",2950000,565,"5.221,24","565 m²


4 Quartos


4 Suítes


4 Vagas",,"Luxuosa Casa no Setor de Mansões Park Way

Descubra o lar dos seus sonhos! Situada no Setor de Mansões Park Way, essa ca... 10/12/24",Venda Casa 565 m²
"SHIS QI 23, LAGO SUL, BRASILIA",9900000,716,"13.826,82","716 m²


4 Quartos


4 Suítes


3 Vagas",APAIXONANTE.,"VILLA149231 - Última atualização: 09/12/24 23:31
SHIS QI 23  Setor de Chácaras

Localização privilegiada em meio à natur... 10/12/24",Venda Casa 716 m²
